playerId,tournamentId,startTime,endTime,isAvailable
1,1,2024-10-14T08:00:00Z,2024-10-14T10:00:00Z,false
1,1,2024-10-14T10:00:00Z,2024-10-14T12:00:00Z,false
1,1,2024-10-14T12:00:00Z,2024-10-14T14:00:00Z,false
1,1,2024-10-14T14:00:00Z,2024-10-14T16:00:00Z,false
1,1,2024-10-14T16:00:00Z,2024-10-14T18:00:00Z,false
1,1,2024-10-14T18:00:00Z,2024-10-14T20:00:00Z,false
1,1,2024-10-14T20:00:00Z,2024-10-14T22:00:00Z,true
2,1,2024-09-30T08:00:00Z,2024-09-30T10:00:00Z,false
2,1,2024-09-30T10:00:00Z,2024-09-30T12:00:00Z,false
2,1,2024-09-30T12:00:00Z,2024-09-30T14:00:00Z,true
2,1,2024-09-30T14:00:00Z,2024-09-30T16:00:00Z,true
2,1,2024-09-30T16:00:00Z,2024-09-30T18:00:00Z,false
2,1,2024-09-30T18:00:00Z,2024-09-30T20:00:00Z,false
2,1,2024-09-30T20:00:00Z,2024-09-30T22:00:00Z,false
3,1,2024-10-04T08:00:00Z,2024-10-04T10:00:00Z,false
3,1,2024-10-04T10:00:00Z,2024-10-04T12:00:00Z,false
3,1,2024-10-04T12:00:00Z,2024-10-04T14:00:00Z,false
3,1,2024-10-04T14:00:00Z,2024-10-04T16:00:00Z,false
3,1,2024-10-04T16:00:00Z,2024-10-04T18:00:00Z,false
3,1,2024-10-04T18:00:00Z,2024-10-04T20:00:00Z,true
3,1,2024-10-04T20:00:00Z,2024-10-04T22:00:00Z,true
4,1,2024-10-03T08:00:00Z,2024-10-03T10:00:00Z,false
4,1,2024-10-03T10:00:00Z,2024-10-03T12:00:00Z,false
4,1,2024-10-03T12:00:00Z,2024-10-03T14:00:00Z,true
4,1,2024-10-03T14:00:00Z,2024-10-03T16:00:00Z,true
4,1,2024-10-03T16:00:00Z,2024-10-03T18:00:00Z,true
4,1,2024-10-03T18:00:00Z,2024-10-03T20:00:00Z,false
4,1,2024-10-03T20:00:00Z,2024-10-03T22:00:00Z,false
5,1,2024-10-22T08:00:00Z,2024-10-22T10:00:00Z,false
5,1,2024-10-22T10:00:00Z,2024-10-22T12:00:00Z,true
5,1,2024-10-22T12:00:00Z,2024-10-22T14:00:00Z,true
